CONTROL,TESTERID,am_indicator_first,STOTUNIT_FIRST,SAVLBAD_FIRST,first_visit_datetime,num_visits,STOTUNIT_TOTAL,SAVLBAD_ANY,was_first_visitor,RACE
AQ-SA-0101-1,AQ037,FALSE,3,1,2011-08-10T16:15:00Z,1,3,1,TRUE,4
AQ-SA-0101-1,AQ061,FALSE,1,1,2011-08-12T17:45:00Z,1,1,1,FALSE,1
AQ-SA-0202-1,AQ010,FALSE,1,1,2011-08-12T16:50:00Z,1,1,1,TRUE,4
AQ-SA-0302-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-0302-1,AQ045,FALSE,NA,0,2011-08-18T21:30:00Z,1,NA,0,TRUE,4
AQ-SA-0401-1,AQ085,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-0402-1,AQ077,TRUE,0,0,2011-08-30T14:04:00Z,1,0,0,TRUE,4
AQ-SA-0404-1,AQ005,TRUE,1,0,2011-08-29T14:50:00Z,2,2,0,FALSE,1
AQ-SA-0404-1,AQ071,TRUE,33,0,2011-08-27T13:30:00Z,1,33,0,TRUE,4
AQ-SA-0405-1,AQ008,FALSE,3,1,2011-08-26T17:00:00Z,1,3,1,TRUE,1
AQ-SA-0405-1,AQ085,FALSE,1,1,2011-08-26T19:00:00Z,1,1,1,FALSE,4
AQ-SA-0406-1,AQ070,TRUE,6,1,2011-08-26T13:30:00Z,2,12,1,TRUE,4
AQ-SA-0407-1,AQ069,TRUE,1,0,2011-09-07T14:10:00Z,1,1,0,TRUE,4
AQ-SA-0408-1,AQ075,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-0409-1,AQ060,FALSE,2,1,2011-08-26T20:37:00Z,2,8,1,TRUE,1
AQ-SA-0409-1,AQ072,FALSE,0,0,2011-08-30T18:30:00Z,1,0,0,FALSE,4
AQ-SA-0501-1,AQ075,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-0502-1,AQ055,FALSE,16,1,2011-09-01T20:00:00Z,1,16,1,TRUE,4
AQ-SA-0508-1,AQ083,FALSE,1,1,2011-09-01T19:02:00Z,2,6,1,TRUE,4
AQ-SA-0510-1,AQ049,FALSE,32,0,2011-09-01T20:18:00Z,1,32,0,TRUE,4
AQ-SA-0512-1,AQ076,TRUE,7,1,2011-09-09T15:00:00Z,1,7,1,TRUE,4
AQ-SA-0513-1,AQ075,FALSE,5,1,2011-09-07T18:00:00Z,1,5,1,TRUE,4
AQ-SA-0602-1,AQ037,TRUE,6,0,2011-09-08T15:32:00Z,1,6,0,TRUE,4
AQ-SA-0602-1,AQ061,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-0604-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-0604-1,AQ061,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-0701-1,AQ008,FALSE,2,0,2011-09-16T18:00:00Z,1,2,0,FALSE,1
AQ-SA-0701-1,AQ037,FALSE,5,1,2011-09-14T17:46:00Z,1,5,1,TRUE,4
AQ-SA-0702-1,AQ010,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-0702-1,AQ053,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-0703-1,AQ017,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-0703-1,AQ070,TRUE,3,1,2011-09-15T15:00:00Z,2,6,1,TRUE,4
AQ-SA-0704-1,AQ037,FALSE,4,1,2011-09-19T20:31:00Z,2,4,1,FALSE,4
AQ-SA-0704-1,AQ041,FALSE,4,1,2011-09-16T17:29:00Z,2,4,1,TRUE,1
AQ-SA-0801-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-0801-1,AQ037,FALSE,5,1,2011-09-20T19:51:00Z,1,5,1,TRUE,4
AQ-SA-0802-1,AQ010,FALSE,1,1,2011-10-06T19:30:00Z,2,1,1,FALSE,4
AQ-SA-0802-1,AQ073,FALSE,1,1,2011-09-27T17:30:00Z,1,1,1,TRUE,1
AQ-SA-0803-1,AQ008,FALSE,1,1,2011-09-29T17:00:00Z,2,4,1,FALSE,1
AQ-SA-0803-1,AQ070,FALSE,1,1,2011-09-26T17:00:00Z,1,1,1,TRUE,4
AQ-SA-0901-1,AQ008,FALSE,3,1,2011-09-30T18:00:00Z,1,3,1,TRUE,1
AQ-SA-0901-1,AQ045,FALSE,1,1,2011-10-02T16:00:00Z,2,8,1,FALSE,4
AQ-SA-0903-1,AQ017,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-0903-1,AQ070,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1002-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1002-1,AQ041,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-1003-1,AQ037,FALSE,4,1,2011-10-08T17:45:00Z,1,4,1,FALSE,4
AQ-SA-1003-1,AQ041,TRUE,3,1,2011-10-07T14:00:00Z,1,3,1,TRUE,1
AQ-SA-1101-1,AQ008,FALSE,4,1,2011-10-14T18:00:00Z,1,4,1,FALSE,1
AQ-SA-1101-1,AQ037,TRUE,4,1,2011-10-13T14:24:00Z,1,4,1,TRUE,4
AQ-SA-1103-1,AQ010,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1103-1,AQ073,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-1201-1,AQ008,FALSE,0,0,2011-10-20T17:30:00Z,2,7,0,TRUE,1
AQ-SA-1201-1,AQ037,TRUE,4,0,2011-10-22T15:44:00Z,1,4,0,FALSE,4
AQ-SA-1404-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-1404-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1411-1,AQ008,FALSE,0,0,2011-11-07T23:00:00Z,2,4,1,FALSE,1
AQ-SA-1411-1,AQ037,FALSE,0,0,2011-11-04T22:00:00Z,2,4,0,TRUE,4
AQ-SA-1505-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-1505-1,AQ037,TRUE,1,1,2011-11-09T16:42:00Z,1,1,1,TRUE,4
AQ-SA-1601-1,AQ088,TRUE,0,0,2011-11-21T16:05:00Z,2,7,0,TRUE,1
AQ-SA-1601-1,AQ092,FALSE,0,0,2011-11-22T18:05:00Z,2,5,0,FALSE,4
AQ-SA-1602-1,AQ091,TRUE,0,0,2011-11-29T16:45:00Z,1,0,0,FALSE,1
AQ-SA-1602-1,AQ094,TRUE,4,1,2011-11-28T15:05:00Z,1,4,1,TRUE,4
AQ-SA-1603-1,AQ098,FALSE,0,0,2011-11-22T20:30:00Z,1,0,0,TRUE,4
AQ-SA-1603-1,AQ101,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-1604-1,AQ099,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1604-1,AQ100,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-1605-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1605-1,AQ097,TRUE,3,0,2011-11-28T14:55:00Z,1,3,0,TRUE,1
AQ-SA-1801-1,AQ008,FALSE,1,1,2011-11-30T18:10:00Z,1,1,1,TRUE,1
AQ-SA-1801-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1803-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-1803-1,AQ100,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-1804-1,AQ037,TRUE,1,1,2011-12-07T15:56:00Z,1,1,1,TRUE,4
AQ-SA-1804-1,AQ095,FALSE,0,1,2011-12-08T20:15:00Z,1,0,1,FALSE,1
AQ-SA-1902-1,AQ008,FALSE,4,0,2011-12-10T17:05:00Z,1,4,0,FALSE,1
AQ-SA-1902-1,AQ037,FALSE,1,1,2011-12-08T18:58:00Z,1,1,1,TRUE,4
AQ-SA-2002-1,AQ008,FALSE,1,1,2011-12-17T18:25:00Z,1,1,1,FALSE,1
AQ-SA-2002-1,AQ037,TRUE,1,1,2011-12-16T14:30:00Z,2,6,1,TRUE,4
AQ-SA-2302-1,AQ022,FALSE,0,0,2012-01-07T21:57:00Z,1,0,0,FALSE,1
AQ-SA-2302-1,AQ085,FALSE,1,1,2012-01-06T18:00:00Z,2,2,1,TRUE,4
AQ-SA-2304-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-2304-1,AQ037,NA,NA,NA,NA,1,0,0,NA,4
AQ-SA-2305-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-2305-1,AQ037,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-2402-1,AQ085,TRUE,3,1,2012-01-13T15:00:00Z,1,3,1,TRUE,4
AQ-SA-2405-1,AQ023,FALSE,0,0,2012-01-09T20:00:00Z,1,0,0,TRUE,1
AQ-SA-2405-1,AQ094,FALSE,5,1,2012-01-11T18:24:00Z,1,5,1,FALSE,4
AQ-SA-2408-1,AQ022,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-2408-1,AQ037,FALSE,0,0,2012-01-09T20:52:00Z,1,0,0,TRUE,4
AQ-SA-2409-1,AQ008,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-2410-1,AQ037,TRUE,12,0,2012-01-12T16:39:00Z,1,12,0,TRUE,4
AQ-SA-2508-1,AQ088,FALSE,5,1,2012-01-19T18:30:00Z,1,5,1,FALSE,1
AQ-SA-2508-1,AQ094,FALSE,3,1,2012-01-17T17:55:00Z,1,3,1,TRUE,4
AQ-SA-2602-1,AQ022,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-2602-1,AQ037,FALSE,3,0,2012-01-29T17:53:00Z,1,3,0,TRUE,4
AQ-SA-2603-1,AQ088,TRUE,7,1,2012-01-26T16:45:00Z,1,7,1,TRUE,1
AQ-SA-2604-1,AQ094,NA,NA,NA,NA,1,NA,NA,NA,4
AQ-SA-2605-1,AQ088,FALSE,4,1,2012-01-24T18:30:00Z,1,4,1,TRUE,1
AQ-SA-2606-1,AQ088,FALSE,5,1,2012-01-25T18:45:00Z,1,5,1,FALSE,1
AQ-SA-2606-1,AQ094,FALSE,1,1,2012-01-23T20:35:00Z,2,7,1,TRUE,4
AQ-SA-2611-1,AQ023,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-2618-1,AQ022,TRUE,0,0,2012-01-31T14:00:00Z,2,3,1,FALSE,1
AQ-SA-2618-1,AQ037,FALSE,3,1,2012-01-26T18:42:00Z,1,3,1,TRUE,4
AQ-SA-2901-1,AQ091,FALSE,3,1,2012-02-16T19:30:00Z,1,3,1,TRUE,1
AQ-SA-2901-1,AQ094,TRUE,0,0,2012-02-18T16:00:00Z,2,3,1,FALSE,4
AQ-SA-2904-1,AQ022,FALSE,5,1,2012-02-16T21:25:00Z,1,5,1,FALSE,1
AQ-SA-2904-1,AQ037,TRUE,7,1,2012-02-14T15:27:00Z,1,7,1,TRUE,4
AQ-SA-2906-1,AQ023,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-2906-1,AQ094,FALSE,1,1,2012-02-13T18:10:00Z,1,1,1,TRUE,4
AQ-SA-2907-1,AQ091,FALSE,4,1,2012-02-19T18:30:00Z,1,4,1,TRUE,1
AQ-SA-2908-1,AQ022,FALSE,3,1,2012-02-19T18:32:00Z,1,3,1,FALSE,1
AQ-SA-2908-1,AQ085,TRUE,3,1,2012-02-17T15:00:00Z,1,3,1,TRUE,4
AQ-SA-2912-1,AQ023,TRUE,0,0,2012-02-17T16:55:00Z,2,0,0,FALSE,1
AQ-SA-2912-1,AQ094,FALSE,3,1,2012-02-15T18:00:00Z,1,3,1,TRUE,4
AQ-SA-2913-1,AQ008,TRUE,5,0,2012-02-16T14:50:00Z,1,5,0,TRUE,1
AQ-SA-2913-1,AQ037,FALSE,3,0,2012-02-17T18:27:00Z,1,3,0,FALSE,4
AQ-SA-3006-1,AQ022,FALSE,7,0,2012-02-29T19:00:00Z,2,7,0,FALSE,1
AQ-SA-3006-1,AQ037,TRUE,3,0,2012-02-27T16:45:00Z,1,3,0,TRUE,4
AQ-SA-3101-1,AQ023,NA,NA,NA,NA,1,NA,NA,NA,1
AQ-SA-3101-1,AQ094,FALSE,3,1,2012-02-28T18:30:00Z,1,3,1,TRUE,4
